,fold,n_neighbors,algorithm,value,dataset
50,0,10,leig,0.65625,COIL-20
51,1,10,leig,0.5375,COIL-20
52,2,10,leig,0.6357142857142857,COIL-20
53,3,10,leig,0.7071428571428572,COIL-20
54,4,10,leig,0.7428571428571429,COIL-20
55,5,10,leig,0.5642857142857143,COIL-20
56,6,10,leig,0.5357142857142857,COIL-20
57,7,10,leig,0.5571428571428572,COIL-20
58,8,10,leig,0.6428571428571429,COIL-20
59,9,10,leig,0.7071428571428572,COIL-20
60,0,20,leig,0.58125,COIL-20
61,1,20,leig,0.49375,COIL-20
62,2,20,leig,0.5857142857142857,COIL-20
63,3,20,leig,0.7071428571428572,COIL-20
64,4,20,leig,0.7285714285714285,COIL-20
65,5,20,leig,0.5571428571428572,COIL-20
66,6,20,leig,0.4928571428571429,COIL-20
67,7,20,leig,0.5214285714285715,COIL-20
68,8,20,leig,0.6571428571428571,COIL-20
69,9,20,leig,0.7214285714285714,COIL-20
70,0,40,leig,0.575,COIL-20
71,1,40,leig,0.45,COIL-20
72,2,40,leig,0.5642857142857143,COIL-20
73,3,40,leig,0.6571428571428571,COIL-20
74,4,40,leig,0.6928571428571428,COIL-20
75,5,40,leig,0.5285714285714286,COIL-20
76,6,40,leig,0.4857142857142857,COIL-20
77,7,40,leig,0.55,COIL-20
78,8,40,leig,0.6,COIL-20
79,9,40,leig,0.6714285714285714,COIL-20
80,0,80,leig,0.55,COIL-20
81,1,80,leig,0.475,COIL-20
82,2,80,leig,0.5857142857142857,COIL-20
83,3,80,leig,0.5928571428571429,COIL-20
84,4,80,leig,0.6785714285714286,COIL-20
85,5,80,leig,0.5714285714285714,COIL-20
86,6,80,leig,0.4928571428571429,COIL-20
87,7,80,leig,0.5142857142857142,COIL-20
88,8,80,leig,0.6,COIL-20
89,9,80,leig,0.5857142857142857,COIL-20
90,0,160,leig,0.40625,COIL-20
91,1,160,leig,0.3875,COIL-20
92,2,160,leig,0.4785714285714286,COIL-20
93,3,160,leig,0.4928571428571429,COIL-20
94,4,160,leig,0.5714285714285714,COIL-20
95,5,160,leig,0.40714285714285714,COIL-20
96,6,160,leig,0.4142857142857143,COIL-20
97,7,160,leig,0.42857142857142855,COIL-20
98,8,160,leig,0.45,COIL-20
99,9,160,leig,0.42142857142857143,COIL-20
100,0,10,lvis,0.9125,COIL-20
101,1,10,lvis,0.81875,COIL-20
102,2,10,lvis,0.9071428571428571,COIL-20
103,3,10,lvis,0.9071428571428571,COIL-20
104,4,10,lvis,0.9357142857142857,COIL-20
105,5,10,lvis,0.9142857142857143,COIL-20
106,6,10,lvis,0.8071428571428572,COIL-20
107,7,10,lvis,0.85,COIL-20
108,8,10,lvis,0.9,COIL-20
109,9,10,lvis,0.9285714285714286,COIL-20
