,fold,n_neighbors,algorithm,value,dataset
120,0,100,leig,0.6277142857142857,F-MNIST
121,1,100,leig,0.64,F-MNIST
122,2,100,leig,0.6288571428571429,F-MNIST
123,3,100,leig,0.6365714285714286,F-MNIST
124,4,100,leig,0.6374285714285715,F-MNIST
125,5,100,leig,0.6248571428571429,F-MNIST
126,6,100,leig,0.6294285714285714,F-MNIST
127,7,100,leig,0.632,F-MNIST
128,8,100,leig,0.6348571428571429,F-MNIST
129,9,100,leig,0.6271428571428571,F-MNIST
130,10,100,leig,0.6245714285714286,F-MNIST
131,11,100,leig,0.6308571428571429,F-MNIST
132,12,100,leig,0.6257142857142857,F-MNIST
133,13,100,leig,0.6377142857142857,F-MNIST
134,14,100,leig,0.6294285714285714,F-MNIST
135,15,100,leig,0.6271428571428571,F-MNIST
136,16,100,leig,0.6377142857142857,F-MNIST
137,17,100,leig,0.6245714285714286,F-MNIST
138,18,100,leig,0.6314285714285715,F-MNIST
139,19,100,leig,0.6302857142857143,F-MNIST
140,0,200,leig,0.6211428571428571,F-MNIST
141,1,200,leig,0.6325714285714286,F-MNIST
142,2,200,leig,0.6222857142857143,F-MNIST
143,3,200,leig,0.6271428571428571,F-MNIST
144,4,200,leig,0.6337142857142857,F-MNIST
145,5,200,leig,0.6194285714285714,F-MNIST
146,6,200,leig,0.6237142857142857,F-MNIST
147,7,200,leig,0.6285714285714286,F-MNIST
148,8,200,leig,0.632,F-MNIST
149,9,200,leig,0.6271428571428571,F-MNIST
150,10,200,leig,0.61,F-MNIST
151,11,200,leig,0.618,F-MNIST
152,12,200,leig,0.6208571428571429,F-MNIST
153,13,200,leig,0.6291428571428571,F-MNIST
154,14,200,leig,0.626,F-MNIST
155,15,200,leig,0.6194285714285714,F-MNIST
156,16,200,leig,0.6234285714285714,F-MNIST
157,17,200,leig,0.6151428571428571,F-MNIST
158,18,200,leig,0.6308571428571429,F-MNIST
159,19,200,leig,0.6168571428571429,F-MNIST
160,0,400,leig,0.612,F-MNIST
161,1,400,leig,0.6225714285714286,F-MNIST
162,2,400,leig,0.6108571428571429,F-MNIST
163,3,400,leig,0.6108571428571429,F-MNIST
164,4,400,leig,0.6154285714285714,F-MNIST
165,5,400,leig,0.6102857142857143,F-MNIST
166,6,400,leig,0.612,F-MNIST
167,7,400,leig,0.616,F-MNIST
168,8,400,leig,0.616,F-MNIST
169,9,400,leig,0.6137142857142858,F-MNIST
170,10,400,leig,0.5977142857142858,F-MNIST
171,11,400,leig,0.6085714285714285,F-MNIST
172,12,400,leig,0.6022857142857143,F-MNIST
173,13,400,leig,0.6182857142857143,F-MNIST
174,14,400,leig,0.6188571428571429,F-MNIST
175,15,400,leig,0.616,F-MNIST
176,16,400,leig,0.6128571428571429,F-MNIST
177,17,400,leig,0.6137142857142858,F-MNIST
178,18,400,leig,0.6111428571428571,F-MNIST
179,19,400,leig,0.6074285714285714,F-MNIST
180,0,800,leig,0.6025714285714285,F-MNIST
181,1,800,leig,0.6142857142857143,F-MNIST
182,2,800,leig,0.5994285714285714,F-MNIST
183,3,800,leig,0.6014285714285714,F-MNIST
184,4,800,leig,0.5974285714285714,F-MNIST
185,5,800,leig,0.5977142857142858,F-MNIST
186,6,800,leig,0.5962857142857143,F-MNIST
187,7,800,leig,0.6042857142857143,F-MNIST
188,8,800,leig,0.6054285714285714,F-MNIST
189,9,800,leig,0.6022857142857143,F-MNIST
190,10,800,leig,0.588,F-MNIST
191,11,800,leig,0.5954285714285714,F-MNIST
192,12,800,leig,0.5931428571428572,F-MNIST
193,13,800,leig,0.6022857142857143,F-MNIST
194,14,800,leig,0.6045714285714285,F-MNIST
195,15,800,leig,0.6054285714285714,F-MNIST
196,16,800,leig,0.6034285714285714,F-MNIST
197,17,800,leig,0.6074285714285714,F-MNIST
198,18,800,leig,0.5928571428571429,F-MNIST
199,19,800,leig,0.5934285714285714,F-MNIST
200,0,1600,leig,0.5802857142857143,F-MNIST
201,1,1600,leig,0.5957142857142858,F-MNIST
202,2,1600,leig,0.584,F-MNIST
203,3,1600,leig,0.5777142857142857,F-MNIST
204,4,1600,leig,0.5805714285714285,F-MNIST
205,5,1600,leig,0.5814285714285714,F-MNIST
206,6,1600,leig,0.5751428571428572,F-MNIST
207,7,1600,leig,0.5848571428571429,F-MNIST
208,8,1600,leig,0.5871428571428572,F-MNIST
209,9,1600,leig,0.5822857142857143,F-MNIST
210,10,1600,leig,0.5737142857142857,F-MNIST
211,11,1600,leig,0.5808571428571428,F-MNIST
212,12,1600,leig,0.5614285714285714,F-MNIST
213,13,1600,leig,0.5857142857142857,F-MNIST
214,14,1600,leig,0.5845714285714285,F-MNIST
215,15,1600,leig,0.5814285714285714,F-MNIST
216,16,1600,leig,0.5825714285714285,F-MNIST
217,17,1600,leig,0.5745714285714286,F-MNIST
218,18,1600,leig,0.5777142857142857,F-MNIST
219,19,1600,leig,0.572,F-MNIST
220,0,3200,leig,0.5442857142857143,F-MNIST
221,1,3200,leig,0.5511428571428572,F-MNIST
222,2,3200,leig,0.5471428571428572,F-MNIST
223,3,3200,leig,0.5454285714285714,F-MNIST
224,4,3200,leig,0.552,F-MNIST
225,5,3200,leig,0.544,F-MNIST
226,6,3200,leig,0.5325714285714286,F-MNIST
227,7,3200,leig,0.5382857142857143,F-MNIST
228,8,3200,leig,0.5491428571428572,F-MNIST
229,9,3200,leig,0.5402857142857143,F-MNIST
230,10,3200,leig,0.5322857142857143,F-MNIST
231,11,3200,leig,0.5411428571428571,F-MNIST
232,12,3200,leig,0.5305714285714286,F-MNIST
233,13,3200,leig,0.5508571428571428,F-MNIST
234,14,3200,leig,0.5425714285714286,F-MNIST
235,15,3200,leig,0.5362857142857143,F-MNIST
236,16,3200,leig,0.5497142857142857,F-MNIST
237,17,3200,leig,0.5494285714285714,F-MNIST
238,18,3200,leig,0.5337142857142857,F-MNIST
239,19,3200,leig,0.5337142857142857,F-MNIST
240,0,100,lvis,0.8008571428571428,F-MNIST
241,1,100,lvis,0.8131428571428572,F-MNIST
242,2,100,lvis,0.8108571428571428,F-MNIST
243,3,100,lvis,0.8125714285714286,F-MNIST
244,4,100,lvis,0.8017142857142857,F-MNIST
245,5,100,lvis,0.8071428571428572,F-MNIST
246,6,100,lvis,0.8111428571428572,F-MNIST
247,7,100,lvis,0.8117142857142857,F-MNIST
248,8,100,lvis,0.8094285714285714,F-MNIST
249,9,100,lvis,0.8177142857142857,F-MNIST
250,10,100,lvis,0.822,F-MNIST
251,11,100,lvis,0.8111428571428572,F-MNIST
252,12,100,lvis,0.8125714285714286,F-MNIST
253,13,100,lvis,0.8102857142857143,F-MNIST
254,14,100,lvis,0.8068571428571428,F-MNIST
255,15,100,lvis,0.8025714285714286,F-MNIST
256,16,100,lvis,0.7982857142857143,F-MNIST
257,17,100,lvis,0.7971428571428572,F-MNIST
258,18,100,lvis,0.802,F-MNIST
259,19,100,lvis,0.7968571428571428,F-MNIST
260,0,200,lvis,0.8022857142857143,F-MNIST
261,1,200,lvis,0.8094285714285714,F-MNIST
262,2,200,lvis,0.8062857142857143,F-MNIST
263,3,200,lvis,0.8151428571428572,F-MNIST
264,4,200,lvis,0.7971428571428572,F-MNIST
265,5,200,lvis,0.7997142857142857,F-MNIST
266,6,200,lvis,0.8042857142857143,F-MNIST
267,7,200,lvis,0.8102857142857143,F-MNIST
268,8,200,lvis,0.8025714285714286,F-MNIST
269,9,200,lvis,0.8125714285714286,F-MNIST
270,10,200,lvis,0.8185714285714286,F-MNIST
271,11,200,lvis,0.81,F-MNIST
272,12,200,lvis,0.8074285714285714,F-MNIST
273,13,200,lvis,0.8068571428571428,F-MNIST
274,14,200,lvis,0.8017142857142857,F-MNIST
275,15,200,lvis,0.8011428571428572,F-MNIST
276,16,200,lvis,0.7965714285714286,F-MNIST
277,17,200,lvis,0.798,F-MNIST
278,18,200,lvis,0.7988571428571428,F-MNIST
279,19,200,lvis,0.7982857142857143,F-MNIST
280,0,400,lvis,0.7934285714285715,F-MNIST
281,1,400,lvis,0.7988571428571428,F-MNIST
282,2,400,lvis,0.7954285714285714,F-MNIST
283,3,400,lvis,0.8025714285714286,F-MNIST
284,4,400,lvis,0.7888571428571428,F-MNIST
285,5,400,lvis,0.7905714285714286,F-MNIST
286,6,400,lvis,0.7965714285714286,F-MNIST
287,7,400,lvis,0.8017142857142857,F-MNIST
288,8,400,lvis,0.7962857142857143,F-MNIST
289,9,400,lvis,0.8042857142857143,F-MNIST
290,10,400,lvis,0.8074285714285714,F-MNIST
291,11,400,lvis,0.8014285714285714,F-MNIST
292,12,400,lvis,0.8045714285714286,F-MNIST
293,13,400,lvis,0.7948571428571428,F-MNIST
294,14,400,lvis,0.7934285714285715,F-MNIST
295,15,400,lvis,0.792,F-MNIST
296,16,400,lvis,0.7845714285714286,F-MNIST
297,17,400,lvis,0.7922857142857143,F-MNIST
298,18,400,lvis,0.792,F-MNIST
299,19,400,lvis,0.7862857142857143,F-MNIST
300,0,800,lvis,0.7708571428571429,F-MNIST
301,1,800,lvis,0.778,F-MNIST
302,2,800,lvis,0.772,F-MNIST
303,3,800,lvis,0.7794285714285715,F-MNIST
304,4,800,lvis,0.7694285714285715,F-MNIST
305,5,800,lvis,0.7654285714285715,F-MNIST
306,6,800,lvis,0.7702857142857142,F-MNIST
307,7,800,lvis,0.7785714285714286,F-MNIST
308,8,800,lvis,0.7657142857142857,F-MNIST
309,9,800,lvis,0.7802857142857142,F-MNIST
310,10,800,lvis,0.7777142857142857,F-MNIST
311,11,800,lvis,0.7808571428571428,F-MNIST
312,12,800,lvis,0.776,F-MNIST
313,13,800,lvis,0.768,F-MNIST
314,14,800,lvis,0.7674285714285715,F-MNIST
315,15,800,lvis,0.7674285714285715,F-MNIST
316,16,800,lvis,0.7617142857142857,F-MNIST
317,17,800,lvis,0.7657142857142857,F-MNIST
318,18,800,lvis,0.77,F-MNIST
319,19,800,lvis,0.7557142857142857,F-MNIST
320,0,1600,lvis,0.7477142857142857,F-MNIST
321,1,1600,lvis,0.7488571428571429,F-MNIST
322,2,1600,lvis,0.7425714285714285,F-MNIST
323,3,1600,lvis,0.7485714285714286,F-MNIST
324,4,1600,lvis,0.7374285714285714,F-MNIST
325,5,1600,lvis,0.7357142857142858,F-MNIST
326,6,1600,lvis,0.7377142857142858,F-MNIST
327,7,1600,lvis,0.7437142857142857,F-MNIST
328,8,1600,lvis,0.7368571428571429,F-MNIST
329,9,1600,lvis,0.7522857142857143,F-MNIST
330,10,1600,lvis,0.7505714285714286,F-MNIST
331,11,1600,lvis,0.7471428571428571,F-MNIST
332,12,1600,lvis,0.7474285714285714,F-MNIST
333,13,1600,lvis,0.7465714285714286,F-MNIST
334,14,1600,lvis,0.7402857142857143,F-MNIST
335,15,1600,lvis,0.7428571428571429,F-MNIST
336,16,1600,lvis,0.7351428571428571,F-MNIST
337,17,1600,lvis,0.7345714285714285,F-MNIST
338,18,1600,lvis,0.7317142857142858,F-MNIST
339,19,1600,lvis,0.7294285714285714,F-MNIST
340,0,3200,lvis,0.7328571428571429,F-MNIST
341,1,3200,lvis,0.7311428571428571,F-MNIST
342,2,3200,lvis,0.73,F-MNIST
343,3,3200,lvis,0.7314285714285714,F-MNIST
344,4,3200,lvis,0.72,F-MNIST
345,5,3200,lvis,0.7211428571428572,F-MNIST
346,6,3200,lvis,0.722,F-MNIST
347,7,3200,lvis,0.7285714285714285,F-MNIST
348,8,3200,lvis,0.7194285714285714,F-MNIST
349,9,3200,lvis,0.7374285714285714,F-MNIST
350,10,3200,lvis,0.7311428571428571,F-MNIST
351,11,3200,lvis,0.7311428571428571,F-MNIST
352,12,3200,lvis,0.7217142857142858,F-MNIST
353,13,3200,lvis,0.7365714285714285,F-MNIST
354,14,3200,lvis,0.7282857142857143,F-MNIST
355,15,3200,lvis,0.7205714285714285,F-MNIST
356,16,3200,lvis,0.72,F-MNIST
357,17,3200,lvis,0.7245714285714285,F-MNIST
358,18,3200,lvis,0.7191428571428572,F-MNIST
359,19,3200,lvis,0.7202857142857143,F-MNIST
360,0,100,pca,0.5625714285714286,F-MNIST
361,1,100,pca,0.5751428571428572,F-MNIST
362,2,100,pca,0.5645714285714286,F-MNIST
363,3,100,pca,0.5625714285714286,F-MNIST
