,fold,n_neighbors,algorithm,value,dataset
50,0,10,leig,0.8054054054054054,PenDigits
51,1,10,leig,0.8415300546448088,PenDigits
52,2,10,leig,0.712707182320442,PenDigits
53,3,10,leig,0.7222222222222222,PenDigits
54,4,10,leig,0.776536312849162,PenDigits
55,5,10,leig,0.7653631284916201,PenDigits
56,6,10,leig,0.8379888268156425,PenDigits
57,7,10,leig,0.8370786516853933,PenDigits
58,8,10,leig,0.6836158192090396,PenDigits
59,9,10,leig,0.7954545454545454,PenDigits
60,0,20,leig,0.8054054054054054,PenDigits
61,1,20,leig,0.8469945355191257,PenDigits
62,2,20,leig,0.7237569060773481,PenDigits
63,3,20,leig,0.7,PenDigits
64,4,20,leig,0.7653631284916201,PenDigits
65,5,20,leig,0.7597765363128491,PenDigits
66,6,20,leig,0.8491620111731844,PenDigits
67,7,20,leig,0.8258426966292135,PenDigits
68,8,20,leig,0.6949152542372882,PenDigits
69,9,20,leig,0.8068181818181818,PenDigits
70,0,40,leig,0.8054054054054054,PenDigits
71,1,40,leig,0.8415300546448088,PenDigits
72,2,40,leig,0.7403314917127072,PenDigits
73,3,40,leig,0.7222222222222222,PenDigits
74,4,40,leig,0.7541899441340782,PenDigits
75,5,40,leig,0.7541899441340782,PenDigits
76,6,40,leig,0.8603351955307262,PenDigits
77,7,40,leig,0.8146067415730337,PenDigits
78,8,40,leig,0.6836158192090396,PenDigits
79,9,40,leig,0.8011363636363636,PenDigits
80,0,80,leig,0.7837837837837838,PenDigits
81,1,80,leig,0.825136612021858,PenDigits
82,2,80,leig,0.7237569060773481,PenDigits
83,3,80,leig,0.7388888888888889,PenDigits
84,4,80,leig,0.7541899441340782,PenDigits
85,5,80,leig,0.7318435754189944,PenDigits
86,6,80,leig,0.8491620111731844,PenDigits
87,7,80,leig,0.8089887640449438,PenDigits
88,8,80,leig,0.6666666666666666,PenDigits
89,9,80,leig,0.8068181818181818,PenDigits
90,0,160,leig,0.7621621621621621,PenDigits
91,1,160,leig,0.7759562841530054,PenDigits
92,2,160,leig,0.712707182320442,PenDigits
93,3,160,leig,0.7055555555555556,PenDigits
94,4,160,leig,0.6983240223463687,PenDigits
95,5,160,leig,0.7318435754189944,PenDigits
96,6,160,leig,0.8379888268156425,PenDigits
97,7,160,leig,0.8146067415730337,PenDigits
98,8,160,leig,0.6666666666666666,PenDigits
99,9,160,leig,0.7613636363636364,PenDigits
100,0,10,lvis,0.9405405405405406,PenDigits
101,1,10,lvis,0.9453551912568307,PenDigits
102,2,10,lvis,0.9281767955801105,PenDigits
103,3,10,lvis,0.9388888888888889,PenDigits
104,4,10,lvis,0.9832402234636871,PenDigits
105,5,10,lvis,1.0,PenDigits
106,6,10,lvis,0.9888268156424581,PenDigits
107,7,10,lvis,1.0,PenDigits
108,8,10,lvis,0.9661016949152542,PenDigits
109,9,10,lvis,0.9659090909090909,PenDigits
110,0,20,lvis,0.9405405405405406,PenDigits
111,1,20,lvis,0.9453551912568307,PenDigits
112,2,20,lvis,0.9834254143646409,PenDigits
113,3,20,lvis,0.9777777777777777,PenDigits
114,4,20,lvis,0.9832402234636871,PenDigits
115,5,20,lvis,1.0,PenDigits
116,6,20,lvis,0.9888268156424581,PenDigits
117,7,20,lvis,1.0,PenDigits
118,8,20,lvis,0.96045197740113,PenDigits
119,9,20,lvis,0.9545454545454546,PenDigits
120,0,40,lvis,0.9297297297297298,PenDigits
121,1,40,lvis,0.9562841530054644,PenDigits
122,2,40,lvis,0.9723756906077348,PenDigits
123,3,40,lvis,0.8833333333333333,PenDigits
124,4,40,lvis,0.9553072625698324,PenDigits
125,5,40,lvis,0.9329608938547486,PenDigits
126,6,40,lvis,0.9888268156424581,PenDigits
127,7,40,lvis,1.0,PenDigits
128,8,40,lvis,0.9491525423728814,PenDigits
129,9,40,lvis,0.9545454545454546,PenDigits
130,0,80,lvis,0.9351351351351351,PenDigits
131,1,80,lvis,0.9453551912568307,PenDigits
132,2,80,lvis,0.9447513812154696,PenDigits
133,3,80,lvis,0.8666666666666667,PenDigits
134,4,80,lvis,0.9497206703910615,PenDigits
135,5,80,lvis,0.9329608938547486,PenDigits
136,6,80,lvis,0.9888268156424581,PenDigits
137,7,80,lvis,1.0,PenDigits
138,8,80,lvis,0.9322033898305084,PenDigits
139,9,80,lvis,0.9545454545454546,PenDigits
140,0,160,lvis,0.8540540540540541,PenDigits
141,1,160,lvis,0.907103825136612,PenDigits
142,2,160,lvis,0.8839779005524862,PenDigits
143,3,160,lvis,0.8888888888888888,PenDigits
144,4,160,lvis,0.9497206703910615,PenDigits
145,5,160,lvis,0.9217877094972067,PenDigits
146,6,160,lvis,0.9720670391061452,PenDigits
147,7,160,lvis,0.9943820224719101,PenDigits
148,8,160,lvis,0.9265536723163842,PenDigits
149,9,160,lvis,0.9090909090909091,PenDigits
150,0,10,pca,0.5675675675675675,PenDigits
151,1,10,pca,0.6174863387978142,PenDigits
152,2,10,pca,0.5966850828729282,PenDigits
153,3,10,pca,0.6666666666666666,PenDigits
154,4,10,pca,0.664804469273743,PenDigits
155,5,10,pca,0.5977653631284916,PenDigits
156,6,10,pca,0.7094972067039106,PenDigits
157,7,10,pca,0.6179775280898876,PenDigits
158,8,10,pca,0.5649717514124294,PenDigits
159,9,10,pca,0.6136363636363636,PenDigits
160,0,20,pca,0.5837837837837838,PenDigits
161,1,20,pca,0.6284153005464481,PenDigits
162,2,20,pca,0.5911602209944752,PenDigits
163,3,20,pca,0.7,PenDigits
164,4,20,pca,0.659217877094972,PenDigits
165,5,20,pca,0.6256983240223464,PenDigits
166,6,20,pca,0.6983240223463687,PenDigits
167,7,20,pca,0.6235955056179775,PenDigits
168,8,20,pca,0.6045197740112994,PenDigits
169,9,20,pca,0.6136363636363636,PenDigits
170,0,40,pca,0.572972972972973,PenDigits
171,1,40,pca,0.644808743169399,PenDigits
172,2,40,pca,0.6187845303867403,PenDigits
173,3,40,pca,0.6555555555555556,PenDigits
174,4,40,pca,0.6759776536312849,PenDigits
175,5,40,pca,0.6368715083798883,PenDigits
176,6,40,pca,0.7039106145251397,PenDigits
177,7,40,pca,0.5898876404494382,PenDigits
178,8,40,pca,0.6440677966101694,PenDigits
179,9,40,pca,0.6136363636363636,PenDigits
180,0,80,pca,0.5783783783783784,PenDigits
181,1,80,pca,0.6721311475409836,PenDigits
182,2,80,pca,0.6022099447513812,PenDigits
183,3,80,pca,0.6944444444444444,PenDigits
184,4,80,pca,0.6871508379888268,PenDigits
185,5,80,pca,0.6480446927374302,PenDigits
186,6,80,pca,0.6927374301675978,PenDigits
187,7,80,pca,0.5955056179775281,PenDigits
188,8,80,pca,0.6384180790960452,PenDigits
189,9,80,pca,0.625,PenDigits
190,0,160,pca,0.5351351351351351,PenDigits
191,1,160,pca,0.6557377049180327,PenDigits
192,2,160,pca,0.585635359116022,PenDigits
193,3,160,pca,0.7,PenDigits
194,4,160,pca,0.6815642458100558,PenDigits
195,5,160,pca,0.6424581005586593,PenDigits
196,6,160,pca,0.6815642458100558,PenDigits
197,7,160,pca,0.5730337078651685,PenDigits
198,8,160,pca,0.615819209039548,PenDigits
199,9,160,pca,0.6193181818181818,PenDigits
200,0,10,tsne,0.9405405405405406,PenDigits
201,1,10,tsne,0.9672131147540983,PenDigits
202,2,10,tsne,0.994475138121547,PenDigits
203,3,10,tsne,0.9777777777777777,PenDigits
204,4,10,tsne,0.9720670391061452,PenDigits
205,5,10,tsne,0.994413407821229,PenDigits
206,6,10,tsne,0.9832402234636871,PenDigits
207,7,10,tsne,0.9943820224719101,PenDigits
208,8,10,tsne,0.9774011299435028,PenDigits
209,9,10,tsne,0.9659090909090909,PenDigits
210,0,20,tsne,0.9405405405405406,PenDigits
211,1,20,tsne,0.9672131147540983,PenDigits
212,2,20,tsne,0.9779005524861878,PenDigits
213,3,20,tsne,0.9777777777777777,PenDigits
214,4,20,tsne,0.9720670391061452,PenDigits
215,5,20,tsne,0.994413407821229,PenDigits
216,6,20,tsne,0.9832402234636871,PenDigits
217,7,20,tsne,0.9943820224719101,PenDigits
218,8,20,tsne,0.9717514124293786,PenDigits
219,9,20,tsne,0.9545454545454546,PenDigits
220,0,40,tsne,0.9351351351351351,PenDigits
221,1,40,tsne,0.9672131147540983,PenDigits
