,fold,n_neighbors,algorithm,value,dataset
60,0,100,leig,0.9620885748750646,Shuttle
61,1,100,leig,0.9651844191658049,Shuttle
62,2,100,leig,0.9657014822475009,Shuttle
63,3,100,leig,0.9612068965517241,Shuttle
64,4,100,leig,0.9622413793103448,Shuttle
65,5,100,leig,0.9606896551724138,Shuttle
66,6,100,leig,0.9629246421796862,Shuttle
67,7,100,leig,0.9624008278716799,Shuttle
68,8,100,leig,0.9603311486719558,Shuttle
69,9,100,leig,0.9594687823387374,Shuttle
70,0,200,leig,0.9543339651904188,Shuttle
71,1,200,leig,0.9639779386418477,Shuttle
72,2,200,leig,0.9600137883488452,Shuttle
73,3,200,leig,0.9574137931034483,Shuttle
74,4,200,leig,0.9567241379310345,Shuttle
75,5,200,leig,0.955,Shuttle
76,6,200,leig,0.9570615623383342,Shuttle
77,7,200,leig,0.9553294239392894,Shuttle
78,8,200,leig,0.9549844774060021,Shuttle
79,9,200,leig,0.9546395308727147,Shuttle
80,0,400,leig,0.9439944856108909,Shuttle
81,1,400,leig,0.9551878662530162,Shuttle
82,2,400,leig,0.9513960703205792,Shuttle
83,3,400,leig,0.9487931034482758,Shuttle
84,4,400,leig,0.9491379310344827,Shuttle
85,5,400,leig,0.9477586206896552,Shuttle
86,6,400,leig,0.9493016037247801,Shuttle
87,7,400,leig,0.9475681269403242,Shuttle
88,8,400,leig,0.9479130734736116,Shuttle
89,9,400,leig,0.9480855467402552,Shuttle
90,0,800,leig,0.9383077718421506,Shuttle
91,1,800,leig,0.9467425025853154,Shuttle
92,2,800,leig,0.9438124784557049,Shuttle
93,3,800,leig,0.9396551724137931,Shuttle
94,4,800,leig,0.9412068965517242,Shuttle
95,5,800,leig,0.9448275862068966,Shuttle
96,6,800,leig,0.9386101051905501,Shuttle
97,7,800,leig,0.9427388754743015,Shuttle
98,8,800,leig,0.9392894101414281,Shuttle
99,9,800,leig,0.9404967230079337,Shuttle
100,0,1600,leig,0.9155609167671894,Shuttle
101,1,1600,leig,0.9229576008273009,Shuttle
102,2,1600,leig,0.9241640813512582,Shuttle
103,3,1600,leig,0.9175862068965517,Shuttle
104,4,1600,leig,0.9177586206896552,Shuttle
105,5,1600,leig,0.9175862068965517,Shuttle
106,6,1600,leig,0.9151577858251423,Shuttle
107,7,1600,leig,0.916867885477751,Shuttle
108,8,1600,leig,0.9144532597447396,Shuttle
109,9,1600,leig,0.9197999310106934,Shuttle
110,0,3200,leig,0.8924694123729106,Shuttle
111,1,3200,leig,0.8941744226128922,Shuttle
112,2,3200,leig,0.8990003447087211,Shuttle
113,3,3200,leig,0.8891379310344828,Shuttle
114,4,3200,leig,0.8975862068965518,Shuttle
115,5,3200,leig,0.8937931034482759,Shuttle
116,6,3200,leig,0.892912571132954,Shuttle
117,7,3200,leig,0.8956536736805795,Shuttle
118,8,3200,leig,0.8930665746809244,Shuttle
119,9,3200,leig,0.8975508796136599,Shuttle
120,0,100,lvis,0.9925900396346717,Shuttle
121,1,100,lvis,0.9941399517407791,Shuttle
